video_id,video_path,begin_frame,end_frame,captions,subject,predicate,object
v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,0.829999983,19.86000061,A young woman is seen standing in a room and leads into her dancing.,woman,seen,room
v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,17.37000084,60.81000137, The girl dances around the room while the camera captures her movements.,girl,dances,room
v_QOlSCBRmfWY,https://www.youtube.com/watch?v=QOlSCBRmfWY,56.25999832,79.41999817, She continues dancing around the room and ends by laying on the floor.,She,continues,room
v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,0,2.779999971,The video starts with a title logo sequence.,video,starts,sequence
v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,56.47000122,61.72000122, The woman ends with a final title logo sequence.,woman,ends,sequence
v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,15.43000031,55.24000168, The woman lays on the ground.,woman,lays,ground
v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,39.81000137,54.61999893, The woman begins to do small sit ups.,woman,begins,ups
v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,3.089999914,61.72000122, A man and woman are in a living room demonstrating exercises.,man,are,room
v_ehGHCYKzyZ8,https://www.youtube.com/watch?v=ehGHCYKzyZ8,17.59000015,54, The man starts pointing to different areas of the woman's body as she does an exercise.,man,starts,areas
v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,0,15.51000023,Two people are seen moving around a kitchen quickly performing various tasks and sitting down.,people,seen,kitchen
v_nwznKOuZM7w,https://www.youtube.com/watch?v=nwznKOuZM7w,11.39000034,31.64999962, They then wax down a ski in the kitchen while continuing to move around.,They,wax,ski
v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,0,7.489999771,We see a hallway with a wooden floor.,We,see,hallway
v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,7.489999771,18.09000015, A dog in socks walks slowly out onto the floor as a lady films him.,dog,walks,socks
v_ogQozSI5V8U,https://www.youtube.com/watch?v=ogQozSI5V8U,19.37000084,36.54999924, The dog turns around and goes back to the other room.,dog,turns,room
